-20	400	-8000	160000	-8000
-19	361	-6859	130321	-6859
-18	324	-5832	104976	-5832
-17	289	-4913	83521	-4913
-16	256	-4096	65536	-4096
-15	225	-3375	50625	-3375
-14	196	-2744	38416	-2744
-13	169	-2197	28561	-2197
-12	144	-1728	20736	-1728
-11	121	-1331	14641	-1331
-10	100	-1000	10000	-1000
-9	81	-729	6561	-729
-8	64	-512	4096	-512
-7	49	-343	2401	-343
-6	36	-216	1296	-216
-5	25	-125	625	-125
-4	16	-64	256	-64
-3	9	-27	81	-27
-2	4	-8	16	-8
-1	1	-1	1	-1
0	0	0	0	0
1	1	1	1	1
2	4	8	16	8
3	9	27	81	27
4	16	64	256	64
5	25	125	625	125
6	36	216	1296	216
7	49	343	2401	343
8	64	512	4096	512
9	81	729	6561	729
10	100	1000	10000	1000
11	121	1331	14641	1331
12	144	1728	20736	1728
13	169	2197	28561	2197
14	196	2744	38416	2744
15	225	3375	50625	3375
16	256	4096	65536	4096
17	289	4913	83521	4913
18	324	5832	104976	5832
19	361	6859	130321	6859
20	400	8000	160000	8000
