-10	100	105	0	0
-9	81	86	1	0
-8	64	69	2	0
-7	49	54	0	0
-6	36	41	1	0
-5	25	30	2	0
-4	16	21	0	0
-3	9	14	1	0
-2	4	9	2	0
-1	1	6	0	0
0	0	5	1	0
1	1	6	2	0
2	4	9	0	0
3	9	14	1	0
4	16	21	2	0
5	25	30	0	0
6	36	41	1	0
7	49	54	2	0
8	64	69	0	0
9	81	86	1	0
10	100	105	2	0
-10	100	110	0	1
-9	81	91	1	1
-8	64	74	2	1
-7	49	59	0	1
-6	36	46	1	1
-5	25	35	2	1
-4	16	26	0	1
-3	9	19	1	1
-2	4	14	2	1
-1	1	11	0	1
0	0	10	1	1
1	1	11	2	1
2	4	14	0	1
3	9	19	1	1
4	16	26	2	1
5	25	35	0	1
6	36	46	1	1
7	49	59	2	1
8	64	74	0	1
9	81	91	1	1
10	100	110	2	1
